time,ax,ay,az,wx,wy,wz
5.900000e+00,1.493893e+00,6.426636e-01,1.894061e+00,-1.819865e+01,-1.040649e+01,-1.360575e+01
5.920000e+00,2.950065e+00,3.911865e-02,-1.985870e+00,-2.485148e+01,-1.129150e+00,-3.229777e+00
5.940000e+00,1.158591e+00,-3.488745e-01,-3.796505e+00,-3.461711e+01,2.011108e+01,-4.084269e+00
5.960000e+00,-1.375340e+00,1.988665e+00,2.320375e+00,-2.430216e+01,-1.235962e+01,-4.633586e+00
5.980000e+00,3.442841e-01,2.477249e+00,3.177792e+00,-1.014201e+01,-1.022339e+01,-3.351847e+00
6.000000e+00,1.972897e+00,2.237747e+00,5.069857e+00,1.244100e+01,-1.556396e+00,-1.555888e+01
6.020000e+00,3.347040e-01,1.935974e+00,2.071293e+00,9.663900e-01,1.675415e+01,5.376180e+00
6.040000e+00,2.341132e-01,9.109058e-01,4.091492e-01,1.347860e+01,-6.988525e+00,-5.182902e+00
6.060000e+00,1.249601e+00,7.097241e-01,-1.473336e+00,1.149495e+00,-6.011963e+00,-7.624308e+00
6.080000e+00,-1.916614e+00,-4.710205e-02,-4.859894e+00,-5.686442e+00,-7.293701e+00,5.803426e+00
6.100000e+00,1.287323e-01,7.432544e-01,1.386317e+00,1.030477e+01,-2.359009e+01,-4.877726e+00
6.120000e+00,1.134641e+00,1.365959e+00,6.486511e-01,2.019246e+01,-1.773071e+01,4.643758e+00
6.140000e+00,4.257147e-01,-1.321252e+00,-3.643224e+00,-1.423136e+01,2.044678e+00,1.775106e+00
6.160000e+00,5.215155e-01,2.065305e+00,1.644979e+00,-3.122965e+00,8.392334e+00,2.507528e+00
6.180000e+00,-3.071613e-01,1.030657e+00,7.923523e-01,1.518758e+01,-3.427124e+01,1.469930e+00
6.200000e+00,2.198029e+00,1.686892e+00,-1.770319e+00,1.982625e+01,-7.629395e-01,1.286825e+00
6.220000e+00,9.238788e-01,9.348560e-01,-6.925598e-01,-1.475016e+00,1.266479e+01,3.911336e+00
6.240000e+00,2.423161e+00,-3.991699e-03,-6.398694e-01,7.802327e+00,-3.143311e+00,1.042684e+00
6.260000e+00,1.747766e+00,1.155198e+00,-2.373864e+00,8.717855e+00,5.096436e+00,-5.549113e+00
6.280000e+00,-1.188528e+00,8.630054e-01,-1.248204e+00,1.695760e+01,1.675415e+01,2.263387e+00
6.300000e+00,1.455573e+00,1.126458e+00,7.205017e-01,9.145101e+00,-9.552002e+00,3.484090e+00
6.320000e+00,6.460565e-01,5.037524e-01,-3.437252e+00,1.616414e+01,3.631592e+00,-5.549113e+00
6.340000e+00,2.703492e+00,1.653362e+00,8.600971e-01,1.965187e+01,4.810006e+01,-2.012707e-01
6.360000e+00,-1.705853e+00,9.061157e-01,4.714197e-01,1.390584e+01,9.674072e+00,7.985433e-01
6.380000e+00,-9.639954e-02,1.873704e+00,1.644979e+00,2.422078e+01,-1.373291e+00,-1.154582e+00
6.400000e+00,1.285869e+00,6.875987e-01,-1.100568e-02,-2.983457e+00,3.710792e+01,-3.712245e+00
6.420000e+00,-2.275867e+00,7.863647e-01,1.285726e+00,-1.832072e+01,1.962280e+01,-6.052653e-01
6.440000e+00,-1.725013e+00,1.801853e+00,1.295306e+00,-6.174723e+00,-1.779175e+01,-5.594889e-02
6.460000e+00,2.371611e+00,6.431198e-01,-1.282191e+00,-9.488060e+00,2.772304e+01,-2.729870e+00
6.480000e+00,-2.257306e-01,-2.913940e-01,2.510779e-01,-5.747477e+00,5.288696e+01,2.324422e+00
6.500000e+00,-1.121468e+00,1.653362e+00,2.186254e+00,3.233846e+01,7.843018e+00,-1.093547e+00
6.520000e+00,2.844684e+00,3.432861e-02,-9.655920e-01,6.642660e+00,4.067993e+01,-4.755656e+00
6.540000e+00,-2.318978e+00,-2.003833e-01,-4.590454e-02,-1.017253e-02,2.383423e+01,-2.390544e-01
6.560000e+00,-8.292755e-01,1.447390e+00,5.959607e-01,2.458700e+01,-2.731323e+01,-1.032511e+00
6.580000e+00,2.380051e+00,8.630054e-01,8.977332e-01,1.683553e+01,3.854370e+01,-3.779093e+00
6.600000e+00,-3.214715e+00,8.294751e-01,6.199109e-01,1.476034e+01,1.205444e+01,-4.831950e-01
6.620000e+00,-2.184857e+00,-1.254192e+00,-3.820455e+00,2.858480e+00,-2.960205e+00,-1.250712e+01
6.640000e+00,-1.107697e-01,1.619832e+00,2.832909e+00,-2.543132e-01,3.787231e+01,-7.273356e-01
6.660000e+00,-1.480721e+00,2.798181e+00,5.951224e+00,-4.954020e+00,-7.232666e+00,-4.389445e+00
6.680000e+00,-3.478167e+00,1.399490e+00,5.815906e-01,3.407796e+00,-2.493286e+01,5.498250e+00
6.700000e+00,-2.371668e+00,7.528345e-01,5.672205e-01,1.073201e+01,-3.051758e-02,-5.976359e+00
6.720000e+00,4.640350e-01,2.117996e+00,3.005350e+00,2.080282e+01,1.156616e+01,8.061727e+00
6.740000e+00,-4.370911e-02,9.180908e-02,-2.172682e+00,4.857381e+01,-2.859497e+01,-4.084269e+00
6.760000e+00,5.688171e-02,-2.371069e-01,-2.658073e+00,3.689575e+01,-2.009074e+01,-4.999797e+00
6.780000e+00,1.574725e-01,-5.660229e-01,-3.143463e+00,2.521769e+01,-1.158651e+01,-5.915324e+00
6.800000e+00,2.580634e-01,-8.949390e-01,-3.628854e+00,1.353963e+01,-3.082275e+00,-6.830851e+00
6.820000e+00,2.111808e+00,3.792114e-01,-2.570255e+00,2.361043e+01,3.958130e+01,8.595785e-01
6.840000e+00,3.769162e+00,1.562351e+00,4.427992e+00,5.327352e+01,2.023315e+01,-1.154582e+00
6.860000e+00,1.340612e+00,-1.033850e+00,-4.352150e+00,2.782186e+01,1.083374e+01,-4.084269e+00
6.880000e+00,-2.980003e+00,-3.457610e+00,-9.156559e+00,7.436117e+00,-3.875732e+00,1.286825e+00
6.900000e+00,-3.511697e+00,-6.075366e-01,-1.497286e+00,4.637655e+01,-2.151489e+01,-9.714762e-01
